ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-05-22,15.923682547705559,12.254458267173609,25.3612252360198,15.923682547705559,15.923682547705559,2.7781860111234757,2.7781860111234757,2.7781860111234757,2.7781860111234757,2.7781860111234757,2.7781860111234757,0.0,0.0,0.0,18.701868558829034
2024-05-23,15.923471739425803,12.13039008154216,24.979326731866053,15.923471739425803,15.923471739425803,2.500448400000271,2.500448400000271,2.500448400000271,2.500448400000271,2.500448400000271,2.500448400000271,0.0,0.0,0.0,18.423920139426073
2024-05-24,15.92326093034671,9.780534796273562,22.310431383162236,15.92326093034671,15.92326093034671,0.22007905253192844,0.22007905253192844,0.22007905253192844,0.22007905253192844,0.22007905253192844,0.22007905253192844,0.0,0.0,0.0,16.14333998287864
2024-05-25,15.923050121267618,8.405762878136153,20.6120774244998,15.923050121267618,15.923050121267618,-1.5386148040924852,-1.5386148040924852,-1.5386148040924852,-1.5386148040924852,-1.5386148040924852,-1.5386148040924852,0.0,0.0,0.0,14.384435317175132
2024-05-26,15.922839312188525,3.6176219227365873,15.665850332469187,15.922839312188525,15.922839312188525,-6.310014009252184,-6.310014009252184,-6.310014009252184,-6.310014009252184,-6.310014009252184,-6.310014009252184,0.0,0.0,0.0,9.612825302936342
2024-05-27,15.922628503109435,9.878881455860336,22.26241659243029,15.922628503109435,15.922628503109435,0.4065623902566432,0.4065623902566432,0.4065623902566432,0.4065623902566432,0.4065623902566432,0.4065623902566432,0.0,0.0,0.0,16.32919089336608
2024-05-28,15.922417691218849,11.86030313142441,24.170035203745194,15.922417691218849,15.922417691218849,1.9433529594068883,1.9433529594068883,1.9433529594068883,1.9433529594068883,1.9433529594068883,1.9433529594068883,0.0,0.0,0.0,17.865770650625738
2024-05-29,15.922206879328263,12.398710606288846,25.05236824347681,15.922206879328263,15.922206879328263,2.7781860111308325,2.7781860111308325,2.7781860111308325,2.7781860111308325,2.7781860111308325,2.7781860111308325,0.0,0.0,0.0,18.700392890459096
2024-05-30,15.921996067437677,12.075042528142982,25.114239186844245,15.921996067437677,15.921996067437677,2.5004484000026497,2.5004484000026497,2.5004484000026497,2.5004484000026497,2.5004484000026497,2.5004484000026497,0.0,0.0,0.0,18.422444467440325
2024-05-31,15.921785255547091,9.875696184834803,22.086709890297833,15.921785255547091,15.921785255547091,0.2200790525361793,0.2200790525361793,0.2200790525361793,0.2200790525361793,0.2200790525361793,0.2200790525361793,0.0,0.0,0.0,16.14186430808327
